indicator,age,sex,unit,geo\time,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
ind10,TOTAL,T,RAT,AL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,7.47 ,6.98 ,6.38 ,5.86 ,: ,: 
ind10,TOTAL,T,RAT,AT,4.07 b,3.77 ,3.81 ,3.66 ,3.77 ,4.19 b,4.15 ,4.34 ,4.12 ,4.20 ,4.11 ,4.13 ,4.05 ,4.09 ,4.29 ,4.04 ,4.17 ,4.11 ,4.08 ,: 
ind10,TOTAL,T,RAT,BE,4.35 b,3.91 ,4.04 ,4.17 ,3.87 ,4.06 ,3.91 ,3.92 ,3.86 ,3.95 ,3.81 ,3.81 ,3.83 ,3.85 ,3.84 ,3.79 ,3.61 b,3.65 ,3.42 ,3.57 
ind10,TOTAL,T,RAT,BG,: ,: ,: ,5.12 b,6.98 ,6.48 ,5.91 ,5.86 ,6.46 ,6.12 ,6.59 ,6.81 ,7.11 ,7.69 b,8.23 ,7.66 ,8.10 ,8.01 ,7.45 ,7.30 
ind10,TOTAL,T,RAT,CH,: ,: ,: ,: ,4.71 ,4.86 ,4.76 ,4.48 ,4.52 ,4.40 ,4.22 ,4.42 b,4.48 ,4.42 ,4.63 ,4.50 ,4.75 ,4.89 ,4.89 ,: 
ind10,TOTAL,T,RAT,CY,: ,: ,4.34 ,4.27 ,4.44 ,4.30 b,4.37 ,4.54 ,4.34 ,4.67 ,4.91 ,5.37 ,5.20 ,4.88 ,4.56 ,4.29 ,4.58 ,4.31 ,4.23 ,: 
ind10,TOTAL,T,RAT,CZ,: ,: ,3.67 b,3.53 ,3.52 ,3.43 ,3.47 ,3.47 ,3.54 ,3.49 ,3.40 ,3.50 ,3.51 ,3.50 ,3.40 ,3.32 ,3.34 ,3.34 ,3.43 ,: 
ind10,TOTAL,T,RAT,DE,: ,: ,3.79 b,4.06 ,4.93 ,4.76 ,4.48 ,4.49 ,4.46 ,4.30 ,4.60 ,5.12 ,4.80 ,4.62 ,4.49 ,5.07 ,4.89 ,4.87 b,4.98 ,: 
ind10,TOTAL,T,RAT,DK,3.58 b,3.42 ,3.50 ,3.44 ,3.73 ,3.63 ,4.61 ,4.41 b,3.98 b,3.94 ,4.01 ,4.12 ,4.08 ,4.06 ,4.08 ,4.11 ,4.09 ,4.00 b,3.93 ,: 
ind10,TOTAL,T,RAT,EA19,: ,5.00 ,4.65 ,4.68 ,4.84 ,4.87 ,4.85 ,4.90 ,5.00 ,4.98 ,5.05 ,5.23 ,5.16 ,5.15 ,5.05 ,5.07 ,4.98 ,4.93 b,5.02 ,: 
ind10,TOTAL,T,RAT,EE,: ,7.20 b,5.93 ,5.51 ,5.54 ,4.99 ,5.01 ,5.01 ,5.35 ,5.41 ,5.54 ,6.48 b,6.21 ,5.56 ,5.42 ,5.07 ,5.08 ,5.03 ,5.03 ,: 
ind10,TOTAL,T,RAT,EL,6.38 b,5.92 ,5.79 ,6.05 ,6.01 ,5.89 ,5.76 ,5.61 ,5.96 ,6.63 ,6.60 ,6.46 ,6.51 ,6.55 ,6.11 ,5.51 ,5.11 ,5.23 ,5.79 ,: 
ind10,TOTAL,T,RAT,ES,: ,5.23 b,5.55 ,5.52 ,5.48 ,5.59 b,5.87 ,6.16 ,6.28 ,6.47 ,6.29 ,6.81 ,6.87 ,6.60 ,6.59 ,6.03 ,5.94 ,5.77 ,6.19 ,: 
ind10,TOTAL,T,RAT,EU,: ,: ,: ,: ,: ,5.01 ,4.92 ,4.94 ,5.03 ,4.98 ,5.00 ,5.20 e,5.22 e,5.16 e,5.08 e,5.12 e,5.07 e,: ,: ,: 
ind10,TOTAL,T,RAT,EU27_2007,: ,: ,5.03 ,4.95 s,5.02 ,5.01 ,4.92 ,4.94 ,5.03 ,4.98 ,5.00 ,5.20 ,5.22 ,5.16 ,5.08 ,5.12 ,5.08 e,: ,: ,: 
ind10,TOTAL,T,RAT,EU27_2020,: ,: ,: ,: ,: ,: ,: ,4.89 ,4.99 ,4.98 ,5.05 ,5.22 e,5.22 e,5.16 e,5.03 e,5.05 e,4.99 e,4.89 b,4.97 ,: 
ind10,TOTAL,T,RAT,EU28,: ,: ,: ,: ,: ,: ,: ,4.94 ,5.03 ,4.98 ,5.00 ,5.20 ,5.22 ,5.16 ,5.08 ,5.12 ,5.07 e,: ,: ,: 
ind10,TOTAL,T,RAT,FI,: ,3.54 b,3.64 ,3.64 ,3.71 ,3.76 ,3.71 ,3.61 ,3.69 ,3.69 ,3.59 ,3.62 ,3.56 ,3.58 ,3.54 ,3.65 ,3.69 ,3.72 ,3.58 ,: 
ind10,TOTAL,T,RAT,FR,: ,4.16 b,4.02 ,3.98 ,3.88 ,4.40 b,4.42 ,4.43 ,4.61 ,4.54 ,4.48 ,4.27 ,4.29 ,4.32 ,4.31 ,4.23 ,4.27 ,4.42 b,4.41 ,: 
ind10,TOTAL,T,RAT,HR,: ,: ,: ,: ,: ,: ,: ,5.54 ,5.58 ,5.36 ,5.34 ,5.12 ,5.16 ,5.00 ,5.03 ,5.00 ,4.76 ,4.61 ,4.78 ,: 
ind10,TOTAL,T,RAT,HU,: ,: ,4.04 b,5.48 ,3.67 ,3.60 ,3.51 ,3.41 ,3.94 ,4.00 ,4.29 ,4.33 ,4.30 ,4.26 ,4.27 ,4.35 ,4.23 ,4.16 ,4.15 ,: 
ind10,TOTAL,T,RAT,IE,4.95 b,4.94 ,5.01 ,4.86 ,4.82 ,4.43 ,4.24 ,4.70 ,4.63 ,4.82 ,4.73 ,4.90 ,4.50 ,4.45 ,4.63 ,4.23 ,4.03 ,4.07 b,3.83 ,: 
ind10,TOTAL,T,RAT,IS,: ,3.40 ,3.51 ,3.74 ,3.95 ,3.84 ,4.22 ,3.61 ,3.32 ,3.36 ,3.36 ,3.12 ,3.43 ,3.33 ,3.59 ,3.21 ,: ,: ,: ,: 
ind10,TOTAL,T,RAT,IT,: ,5.62 b,5.57 ,5.45 ,5.42 ,5.21 ,5.31 ,5.38 ,5.73 ,5.64 ,5.85 ,5.78 ,5.84 ,6.27 ,5.92 ,6.09 ,6.01 ,5.75 ,5.86 ,: 
ind10,TOTAL,T,RAT,LT,: ,: ,6.95 b,6.34 ,5.91 ,6.11 ,6.39 ,7.35 ,5.84 ,5.32 ,6.05 ,6.10 ,7.46 ,7.06 ,7.28 ,7.09 ,6.44 ,6.14 ,6.14 ,: 
ind10,TOTAL,T,RAT,LU,4.06 b,3.92 ,3.87 ,4.18 ,4.02 ,4.11 ,4.31 ,4.10 ,3.97 ,4.13 ,4.59 ,4.42 ,4.26 ,4.62 b,4.56 ,5.18 ,5.34 ,4.99 b,4.59 b,: 
ind10,TOTAL,T,RAT,LV,: ,: ,6.69 b,7.76 ,6.37 ,7.27 ,7.40 ,6.84 ,6.50 ,6.47 ,6.32 ,6.48 ,6.51 ,6.20 ,6.30 ,6.78 ,6.54 ,6.27 ,6.63 ,: 
ind10,TOTAL,T,RAT,ME,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,8.54 ,7.27 ,7.48 ,7.38 ,7.57 ,7.37 ,6.72 ,5.96 ,: ,: 
ind10,TOTAL,T,RAT,MK,: ,: ,: ,: ,: ,: ,: ,: ,: ,10.20 ,8.37 ,7.22 ,6.62 ,6.63 ,6.38 ,6.16 ,5.56 ,5.92 ,: ,: 
ind10,TOTAL,T,RAT,MT,: ,: ,3.95 b,4.03 ,3.89 ,4.26 ,3.99 ,4.33 ,4.01 ,3.94 ,4.14 ,4.05 ,4.15 ,4.22 ,4.21 ,4.28 ,4.18 ,4.69 ,5.03 ,: 
ind10,TOTAL,T,RAT,NL,: ,: ,3.99 b,3.82 ,3.97 ,4.01 ,3.97 ,3.65 ,3.75 ,3.61 ,3.58 ,3.83 ,3.82 ,3.93 b,3.99 ,4.05 ,3.94 ,4.15 ,3.88 ,3.94 
ind10,TOTAL,T,RAT,NO,3.76 b,3.59 ,4.05 ,4.84 ,3.54 ,3.73 ,3.51 ,3.42 ,3.28 ,3.21 ,3.25 ,3.41 ,3.50 ,3.69 ,3.90 ,3.71 ,3.81 ,3.78 ,: ,: 
ind10,TOTAL,T,RAT,PL,: ,: ,6.64 b,5.65 ,5.26 ,5.12 ,4.97 ,4.98 ,4.95 ,4.92 ,4.88 ,4.91 ,4.92 ,4.76 ,4.56 ,4.25 ,4.37 ,4.07 ,4.02 p,: 
ind10,TOTAL,T,RAT,PT,: ,6.96 b,6.96 ,6.73 ,6.47 ,6.11 ,6.01 ,5.56 ,5.68 ,5.82 ,6.01 ,6.23 ,6.01 ,5.88 ,5.75 ,5.22 ,5.16 ,4.99 ,5.66 ,: 
ind10,TOTAL,T,RAT,RO,: ,: ,: ,: ,8.11 b,7.00 ,6.53 ,6.11 ,6.24 ,6.60 ,6.83 ,7.24 ,8.32 ,7.20 ,6.45 ,7.21 ,7.08 ,6.62 ,7.14 ,: 
ind10,TOTAL,T,RAT,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,8.59 ,9.41 ,10.70 ,11.02 ,9.38 ,8.58 ,6.46 ,6.06 ,5.95 ,: 
ind10,TOTAL,T,RAT,SE,: ,3.31 b,3.33 ,3.58 ,3.35 ,3.70 b,3.96 ,3.85 ,3.95 ,3.98 ,3.97 ,4.15 ,4.06 ,4.25 ,4.27 ,4.13 ,4.33 ,4.12 ,4.04 ,: 
ind10,TOTAL,T,RAT,SI,: ,: ,3.43 b,3.39 ,3.31 ,3.36 ,3.24 ,3.42 ,3.46 ,3.44 ,3.60 ,3.70 ,3.60 ,3.56 ,3.42 ,3.38 ,3.39 ,3.32 ,3.24 ,: 
ind10,TOTAL,T,RAT,SK,: ,: ,3.92 ,4.06 ,3.48 ,3.36 ,3.56 ,3.80 ,3.81 ,3.73 ,3.58 ,3.93 ,3.54 ,3.63 ,3.49 ,3.03 ,3.34 ,3.03 ,: ,: 
ind10,TOTAL,T,RAT,TR,: ,: ,: ,11.29 b,9.33 ,9.33 ,10.35 ,9.93 ,9.51 ,9.33 ,8.70 ,8.35 ,8.61 ,8.65 ,8.68 ,8.66 ,8.35 ,9.20 ,: ,: 
ind10,TOTAL,T,RAT,UK,: ,: ,5.87 b,5.39 ,5.34 ,5.63 ,5.25 ,5.35 ,5.34 ,4.98 b,4.63 ,5.06 ,5.23 ,5.12 ,5.40 b,5.63 ,: ,: ,: ,: 
ind10,TOTAL,T,RAT,XK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,15.58 ,: ,: ,: ,: 
